tract_id,point_count,TRACTCE,NAME,ALAND,AWATER,STATEFP,COUNTYFP
53033005303,393,005303,53.03,2432848,749176,53,033
53033005804,339,005804,58.04,2352764,1151351,53,033
53033005801,271,005801,58.01,1822362,260223,53,033
53033004000,234,004000,40,2537228,3269607,53,033
53033004703,229,004703,47.03,1211535,121121,53,033
53033004301,182,004301,43.01,979232,0,53,033
53033004701,173,004701,47.01,571393,176916,53,033
53033003201,150,003201,32.01,1456825,1049556,53,033
53033006000,121,006000,60,1340654,160753,53,033
53033005700,109,005700,57,5085642,2365806,53,033
53033005901,108,005901,59.01,806786,157022,53,033
53033007203,108,007203,72.03,579631,0,53,033
53033006701,106,006701,67.01,380256,105441,53,033
53033006600,106,006600,66,1117109,831139,53,033
53033005401,105,005401,54.01,755186,621334,53,033
53033004102,93,004102,41.02,1689910,2027249,53,033
53033005306,89,005306,53.06,200489,0,53,033
53033008600,86,008600,86,711350,0,53,033
53033003500,78,003500,35,1284745,0,53,033
53033006300,69,006300,63,2610569,3533560,53,033
53033007102,68,007102,71.02,335908,0,53,033
53033001900,65,001900,19,1667272,0,53,033
53033004201,65,004201,42.01,1244114,0,53,033
53033007101,64,007101,71.01,495054,0,53,033
53033002700,62,002700,27,1584847,0,53,033
53033003900,60,003900,39,973801,0,53,033
53033001800,57,001800,18,946085,0,53,033
53033001701,57,001701,17.01,892768,0,53,033
53033008700,57,008700,87,732385,0,53,033
53033001600,55,001600,16,2020358,320118,53,033
53033006100,55,006100,61,1227698,652496,53,033
53033008500,55,008500,85,450978,0,53,033
53033008102,55,008102,81.02,556706,91220,53,033
53033006200,54,006200,62,2437426,239356,53,033
53033005201,54,005201,52.01,699701,73218,53,033
53033007302,51,007302,73.02,312981,0,53,033
53033003602,47,003602,36.02,522326,0,53,033
53033002200,45,002200,22,2804071,1154953,53,033
53033004302,45,004302,43.02,331138,0,53,033
53033004401,44,004401,44.01,694919,0,53,033
53033005000,43,005000,50,757380,0,53,033
53033004702,43,004702,47.02,266414,0,53,033
53033003400,42,003400,34,787161,0,53,033
53033005202,41,005202,52.02,269234,19268,53,033
53033008800,41,008800,88,948581,0,53,033
53033005305,40,005305,53.05,212967,0,53,033
53033008401,40,008401,84.01,250921,0,53,033
53033004902,39,004902,49.02,596190,13727,53,033
53033007002,38,007002,70.02,441021,0,53,033
53033003000,36,003000,30,1493249,0,53,033
53033004402,36,004402,44.02,294988,0,53,033
53033007405,35,007405,74.05,131830,0,53,033
53033004600,34,004600,46,1568590,1017000,53,033
53033006702,33,006702,67.02,304748,0,53,033
53033004101,33,004101,41.01,1601973,3290570,53,033
53033004800,33,004800,48,1278329,26886,53,033
53033008004,33,008004,80.04,284870,526540,53,033
53033005100,31,005100,51,881731,0,53,033
53033004202,31,004202,42.02,1220975,0,53,033
53033007902,30,007902,79.02,431244,0,53,033
53033006703,30,006703,67.03,597133,0,53,033
53033001702,30,001702,17.02,1280220,0,53,033
53033007503,29,007503,75.03,187541,0,53,033
53033004500,29,004500,45,670997,0,53,033
53033002900,29,002900,29,986209,0,53,033
53033007600,29,007600,76,571882,0,53,033
53033002500,29,002500,25,984334,0,53,033
53033003800,28,003800,38,624606,0,53,033
53033002100,27,002100,21,1365467,0,53,033
53033007901,27,007901,79.01,267231,0,53,033
53033006500,26,006500,65,1147619,0,53,033
53033002400,26,002400,24,962540,0,53,033
53033007202,25,007202,72.02,280585,0,53,033
53033006800,24,006800,68,718106,0,53,033
53033003100,23,003100,31,2200035,509440,53,033
53033008200,23,008200,82,375785,0,53,033
53033002600,23,002600,26,1216627,28175,53,033
53033007001,22,007001,70.01,358281,0,53,033
53033007201,22,007201,72.01,150744,0,53,033
53033003302,19,003302,33.02,627071,0,53,033
53033002800,19,002800,28,988287,0,53,033
53033007301,19,007301,73.01,250787,0,53,033
53033004901,19,004901,49.01,497144,0,53,033
53033007700,19,007700,77,1058322,0,53,033
53033008003,18,008003,80.03,197152,0,53,033
53033007303,18,007303,73.03,313527,0,53,033
53033001300,18,001300,13,1180877,0,53,033
53033008300,16,008300,83,237955,0,53,033
53033003301,16,003301,33.01,669207,0,53,033
53033005402,16,005402,54.02,463900,0,53,033
53033007501,15,007501,75.01,298283,0,53,033
53033002000,15,002000,20,1131992,0,53,033
53033005307,15,005307,53.07,130030,0,53,033
53033005600,14,005600,56,3022785,1546484,53,033
53033003202,13,003202,32.02,956016,0,53,033
53033003601,13,003601,36.01,674139,0,53,033
53033006400,11,006400,64,903649,0,53,033
53033008101,10,008101,81.01,270324,277671,53,033
53033007800,10,007800,78,2097741,3632914,53,033
53033007502,9,007502,75.02,315931,0,53,033
53033008002,7,008002,80.02,234314,0,53,033
53033007404,7,007404,74.04,153725,0,53,033
53033008402,7,008402,84.02,145446,0,53,033
53033001500,6,001500,15,1167711,526885,53,033
53033005902,6,005902,59.02,1022976,0,53,033
53033007406,5,007406,74.06,150829,0,53,033
53033007403,5,007403,74.03,118559,0,53,033
53033001400,5,001400,14,2152767,213389,53,033
53033006900,4,006900,69,905121,0,53,033
53033005803,4,005803,58.03,832097,0,53,033
53033005304,3,005304,53.04,73030,0,53,033
53033000900,3,000900,9,1004853,1849039,53,033
53033009200,1,009200,92,338451,154864,53,033
53033009000,1,009000,90,855872,0,53,033
53033008900,1,008900,89,1270034,1798066,53,033
